,COUNTRY,long,lat
0,Afghanistan,33.0,65.0
1,Akrotiri,34.37,32.58
2,Albania,41.0,20.0
3,Algeria,28.0,3.0
4,American Samoa,-14.2,-170.0
5,Andorra,42.3,1.3
6,Angola,-12.3,18.3
7,Anguilla,18.15,-63.1
8,Antarctica,-90.0,0.0
9,Antigua and Barbuda,17.03,-61.48
10,Argentina,-34.0,-64.0
11,Armenia,40.0,45.0
12,Aruba,12.3,-69.58
13,Ashmore and Cartier Islands,-12.14,123.05
14,Australia,-27.0,133.0
15,Austria,47.2,13.2
16,Azerbaijan,40.3,47.3
17,Bahrain,26.0,50.33
18,Bangladesh,24.0,90.0
19,Barbados,13.1,-59.32
20,Belarus,53.0,28.0
21,Belgium,50.5,4.0
22,Belize,17.15,-88.45
23,Benin,9.3,2.15
24,Bermuda,32.2,-64.45
25,Bhutan,27.3,90.3
26,Bolivia,-17.0,-65.0
27,Bosnia and Herzegovina,44.0,18.0
28,Botswana,-22.0,24.0
29,Bouvet Island,-54.26,3.24
30,Brazil,-10.0,-55.0
31,British Indian Ocean Territory,-6.0,71.3
32,British Virgin Islands,18.3,-64.3
33,Brunei,4.3,114.4
34,Bulgaria,43.0,25.0
35,Burkina Faso,13.0,-2.0
36,Burma,22.0,98.0
37,Burundi,-3.3,30.0
38,Cambodia,13.0,105.0
39,Cameroon,6.0,12.0
40,Canada,60.0,-95.0
41,Cape Verde,16.0,-24.0
42,Cayman Islands,19.3,-80.3
43,CAR,7.0,21.0
44,Chad,15.0,19.0
45,Chile,-30.0,-71.0
46,China,35.0,105.0
47,Christmas Island,-10.3,105.4
48,Clipperton Island,10.17,-109.13
49,Cocos (Keeling) Islands,-12.3,96.5
50,Colombia,4.0,-72.0
51,Comoros,-12.1,44.15
52,Congo,-1.0,15.0
53,Cook Islands,-21.14,-159.46
54,Coral Sea Islands,-18.0,152.0
55,Costa Rica,10.0,-84.0
56,Cote d'Ivoire,8.0,-5.0
57,Croatia,45.1,15.3
58,Cuba,21.3,-80.0
59,Cyprus,35.0,33.0
60,Czech Republic,49.45,15.3
61,DRC,0.0,25.0
62,Denmark,56.0,10.0
63,Dhekelia,34.59,33.45
64,Djibouti,11.3,43.0
65,Dominica,15.25,-61.2
66,Dominican Republic,19.0,-70.4
67,East Timor,-8.5,125.55
68,Ecuador,-2.0,-77.3
69,Egypt,27.0,30.0
70,El Salvador,13.5,-88.55
71,Equatorial Guinea,2.0,10.0
72,Eritrea,15.0,39.0
73,Estonia,59.0,26.0
74,Ethiopia,8.0,38.0
75,Falkland Islands,-51.45,-59.0
76,Faroe Islands,62.0,-7.0
77,Micronesia,6.55,158.15
78,Fiji,-18.0,175.0
79,Finland,64.0,26.0
80,France,46.0,2.0
81,French Guiana,4.0,-53.0
82,Guadeloupe,16.15,-61.35
83,Martinique,14.4,-61.0
84,Mayotte,-12.5,45.1
85,Reunion,-21.06,55.36
86,French Polynesia,-15.0,-140.0
87,Gabon,-1.0,11.45
88,Gaza Strip,31.25,34.2
89,Georgia,42.0,43.3
90,Germany,51.0,9.0
91,Ghana,8.0,-2.0
92,Gibraltar,36.08,-5.21
93,Greece,39.0,22.0
94,Greenland,72.0,-40.0
95,Grenada,12.07,-61.4
96,Guam,13.28,144.47
97,Guatemala,15.3,-90.15
98,Guernsey,49.28,-2.35
99,Guinea,11.0,-10.0
100,Guinea-Bissau,12.0,-15.0
101,Guyana,5.0,-59.0
102,Haiti,19.0,-72.25
103,Heard Island and McDonald Islands,-53.06,72.31
104,Holy See (Vatican City),41.54,12.27
105,Honduras,15.0,-86.3
106,Hong Kong,22.15,114.1
107,Howland Island,0.48,-176.38
108,Hungary,47.0,20.0
109,Iceland,65.0,-18.0
110,India,20.0,77.0
111,Indonesia,-5.0,120.0
112,Iran,32.0,53.0
113,Iraq,33.0,44.0
114,Ireland,53.0,-8.0
115,Isle of Man,54.15,-4.3
116,Israel,31.3,34.45
117,Italy,42.5,12.5
118,Jamaica,18.15,-77.3
119,Jan Mayen,71.0,-8.0
120,Japan,36.0,138.0
121,Jarvis Island,-0.22,-160.01
122,Jersey,49.15,-2.1
123,Johnston Atoll,16.45,-169.31
124,Jordan,31.0,36.0
125,Kazakhstan,48.0,68.0
126,Kenya,1.0,38.0
127,Kingman Reef,6.24,-162.22
128,Kiribati,1.25,173.0
129,Kosovo,42.35,21.0
130,Kuwait,29.3,45.45
131,Kyrgyzstan,41.0,75.0
132,Laos,18.0,105.0
133,Latvia,57.0,25.0
134,Lebanon,33.5,35.5
135,Lesotho,-29.3,28.3
136,Liberia,6.3,-9.3
137,Libya,25.0,17.0
138,Liechtenstein,47.16,9.32
139,Lithuania,56.0,24.0
140,Luxembourg,49.45,6.1
141,Macau,22.1,113.33
142,Madagascar,-20.0,47.0
143,Malawi,-13.3,34.0
144,Malaysia,2.3,112.3
145,Maldives,3.15,73.0
146,Mali,17.0,-4.0
147,Malta,35.5,14.35
148,Marshall Islands,9.0,168.0
149,Mauritania,20.0,-12.0
150,Mauritius,-20.17,57.33
151,Mexico,23.0,-102.0
152,Midway Islands,28.12,-177.22
153,Moldova,47.0,29.0
154,Monaco,43.44,7.24
155,Mongolia,46.0,105.0
156,Montenegro,42.3,19.18
157,Montserrat,16.45,-62.12
158,Morocco,32.0,-5.0
159,Mozambique,-18.15,35.0
160,Namibia,-22.0,17.0
161,Nauru,-0.32,166.55
162,Navassa Island,18.25,-75.02
163,Nepal,28.0,84.0
164,Netherlands,52.3,5.45
165,New Caledonia,-21.3,165.3
166,New Zealand,-41.0,174.0
167,Nicaragua,13.0,-85.0
168,Niger,16.0,8.0
169,Nigeria,10.0,8.0
170,Niue,-19.02,-169.52
171,Norfolk Island,-29.02,167.57
172,North Korea,40.0,127.0
173,Northern Mariana Islands,15.12,145.45
174,Norway,62.0,10.0
175,Oman,21.0,57.0
176,Pakistan,30.0,70.0
177,Palau,7.3,134.3
178,Palmyra Atoll,5.52,-162.04
179,Panama,9.0,-80.0
180,Papua New Guinea,-6.0,147.0
181,Paracel Islands,16.3,112.0
182,Paraguay,-23.0,-58.0
183,Peru,-10.0,-76.0
184,Philippines,13.0,122.0
185,Pitcairn Islands,-25.04,-130.06
186,Poland,52.0,20.0
187,Portugal,39.3,-8.0
188,Puerto Rico,18.15,-66.3
189,Qatar,25.3,51.15
190,North Macedonia,41.5,22.0
191,Romania,46.0,25.0
192,Russia,60.0,100.0
193,Rwanda,-2.0,30.0
194,Saint Barthelemy,17.9,-62.85
195,Saint Helena,-15.57,-5.42
196,Saint Kitts and Nevis,17.2,-62.45
197,Saint Lucia,13.53,-60.58
198,Saint Martin,18.05,-63.57
199,Saint Pierre and Miquelon,46.5,-56.2
200,St. Vincent Grenadines,13.15,-61.12
201,Samoa,-13.35,-172.2
202,San Marino,43.46,12.25
203,Sao Tome and Principe,1.0,7.0
204,Saudi Arabia,25.0,45.0
205,Senegal,14.0,-14.0
206,Serbia,44.0,21.0
207,Seychelles,-4.35,55.4
208,Sierra Leone,8.3,-11.3
209,Singapore,1.22,103.48
210,Slovakia,48.4,19.3
211,Slovenia,46.07,14.49
212,Solomon Islands,-8.0,159.0
213,Somalia,10.0,49.0
214,South Africa,-29.0,24.0
215,South Korea,37.0,127.3
216,South Sudan,8.0,30.0
217,Spain,40.0,-4.0
218,Spratly Islands,8.38,111.55
219,Sri Lanka,7.0,81.0
220,Sudan,15.0,30.0
221,Suriname,4.0,-56.0
222,Svalbard,78.0,20.0
223,Swaziland,-26.3,31.3
224,Sweden,62.0,15.0
225,Switzerland,47.0,8.0
226,Syria,35.0,38.0
227,Taiwan,23.3,121.0
228,Tajikistan,39.0,71.0
229,Tanzania,-6.0,35.0
230,Thailand,15.0,100.0
231,The Bahamas,24.15,-76.0
232,The Gambia,13.28,-16.34
233,Togo,8.0,1.1
234,Tokelau,-9.0,-172.0
235,Tonga,-20.0,-175.0
236,Trinidad and Tobago,11.0,-61.0
237,Tunisia,34.0,9.0
238,Turkey,39.0,35.0
239,Turkmenistan,40.0,60.0
240,Turks and Caicos Islands,21.45,-71.35
241,Tuvalu,-8.0,178.0
242,Uganda,1.0,32.0
243,Ukraine,49.0,32.0
244,UAE,24.0,54.0
245,UK,54.0,-2.0
246,US,38.0,-97.0
247,Uruguay,-33.0,-56.0
248,Uzbekistan,41.0,64.0
249,Vanuatu,-16.0,167.0
250,Venezuela,8.0,-66.0
251,Vietnam,16.1,107.5
252,Virgin Islands,18.2,-64.5
253,Wake Island,19.17,166.39
254,Wallis and Futuna,-13.18,-176.12
255,West Bank,32.0,35.15
256,Western Sahara,24.3,-13.0
257,Yemen,15.0,48.0
258,Zambia,-15.0,30.0
259,Zimbabwe,-20.0,30.0
